occupation,occupationLabel,image,position_de_jeu_ou_sp_cialit_,position_de_jeu_ou_sp_cialit_Label,pays_de_citoyennet_,pays_de_citoyennet_Label
http://www.wikidata.org/entity/Q10730,Sean Murray,http://commons.wikimedia.org/wiki/Special:FilePath/Murraystart.jpg,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10732,Daniel Pudil,http://commons.wikimedia.org/wiki/Special:FilePath/Pudil%20140503%20Watford%20v%20Huddersfield-108.jpg,http://www.wikidata.org/entity/Q8025128,ailier milieu,http://www.wikidata.org/entity/Q213,Tchéquie
http://www.wikidata.org/entity/Q10733,Prince Buaben,http://commons.wikimedia.org/wiki/Special:FilePath/Prince%20Buaben.jpg,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q117,Ghana
http://www.wikidata.org/entity/Q10735,Matěj Vydra,http://commons.wikimedia.org/wiki/Special:FilePath/14-06-03-%C4%8Cesko-Rakousko-Olomouc-nr12-1.jpg,http://www.wikidata.org/entity/Q280658,attaquant,http://www.wikidata.org/entity/Q213,Tchéquie
http://www.wikidata.org/entity/Q10736,Ikechi Anya,http://commons.wikimedia.org/wiki/Special:FilePath/Ikechi%20Anya.jpg,http://www.wikidata.org/entity/Q280658,attaquant,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10736,Ikechi Anya,http://commons.wikimedia.org/wiki/Special:FilePath/Ikechi%20Anya.jpg,http://www.wikidata.org/entity/Q8025128,ailier milieu,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10736,Ikechi Anya,http://commons.wikimedia.org/wiki/Special:FilePath/Ikechi%20Anya.jpg,http://www.wikidata.org/entity/Q280658,attaquant,http://www.wikidata.org/entity/Q218,Roumanie
http://www.wikidata.org/entity/Q10736,Ikechi Anya,http://commons.wikimedia.org/wiki/Special:FilePath/Ikechi%20Anya.jpg,http://www.wikidata.org/entity/Q8025128,ailier milieu,http://www.wikidata.org/entity/Q218,Roumanie
http://www.wikidata.org/entity/Q10736,Ikechi Anya,http://commons.wikimedia.org/wiki/Special:FilePath/Ikechi%20Anya.jpg,http://www.wikidata.org/entity/Q280658,attaquant,http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q10736,Ikechi Anya,http://commons.wikimedia.org/wiki/Special:FilePath/Ikechi%20Anya.jpg,http://www.wikidata.org/entity/Q8025128,ailier milieu,http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q10754,Almen Abdi,http://commons.wikimedia.org/wiki/Special:FilePath/Watford%20v%20Birmingham%20%284%29.jpg,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q39,Suisse
http://www.wikidata.org/entity/Q10754,Almen Abdi,http://commons.wikimedia.org/wiki/Special:FilePath/Watford%20v%20Birmingham%20%284%29.jpg,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q1246,Kosovo
http://www.wikidata.org/entity/Q10758,Marco Cassetti,http://commons.wikimedia.org/wiki/Special:FilePath/MarcoCassetti.png,http://www.wikidata.org/entity/Q336286,défenseur,http://www.wikidata.org/entity/Q38,Italie
http://www.wikidata.org/entity/Q10761,Connor Smith,,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q27,Irlande
http://www.wikidata.org/entity/Q10764,Jonathan Bond,http://commons.wikimedia.org/wiki/Special:FilePath/Jonathan%20Bond%20140503%20Watford%20v%20Huddersfield-87.jpg,http://www.wikidata.org/entity/Q201330,gardien de but,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10767,Tommie Hoban,http://commons.wikimedia.org/wiki/Special:FilePath/TommieHoban.png,http://www.wikidata.org/entity/Q336286,défenseur,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10772,Alexandre Geijo,http://commons.wikimedia.org/wiki/Special:FilePath/AlexGeijo.png,http://www.wikidata.org/entity/Q280658,attaquant,http://www.wikidata.org/entity/Q29,Espagne
http://www.wikidata.org/entity/Q10781,Geoffrey Mujangi Bia,http://commons.wikimedia.org/wiki/Special:FilePath/Standard-Zenit%20%285%29.jpg,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q31,Belgique
http://www.wikidata.org/entity/Q10781,Geoffrey Mujangi Bia,http://commons.wikimedia.org/wiki/Special:FilePath/Standard-Zenit%20%285%29.jpg,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q974,République démocratique du Congo
http://www.wikidata.org/entity/Q10781,Geoffrey Mujangi Bia,http://commons.wikimedia.org/wiki/Special:FilePath/Standard-Zenit%20%285%29.jpg,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q6500954,Zaïre
http://www.wikidata.org/entity/Q10785,Cristian Battocchio,http://commons.wikimedia.org/wiki/Special:FilePath/Cristian%20Battocchio.jpg,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q414,Argentine
http://www.wikidata.org/entity/Q10788,Nathaniel Chalobah,http://commons.wikimedia.org/wiki/Special:FilePath/Nathaniel%20Chalobah%2020160810.jpg,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10788,Nathaniel Chalobah,http://commons.wikimedia.org/wiki/Special:FilePath/Nathaniel%20Chalobah%2020160810.jpg,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q1044,Sierra Leone
http://www.wikidata.org/entity/Q10792,Joel Ekstrand,http://commons.wikimedia.org/wiki/Special:FilePath/Joel%20Ekstrand.jpg,http://www.wikidata.org/entity/Q268258,défenseur central,http://www.wikidata.org/entity/Q34,Suède
http://www.wikidata.org/entity/Q10796,Jean-Alain Fanchone,http://commons.wikimedia.org/wiki/Special:FilePath/SM%20Caen%20vs%20UNFP%2C%20July%2030th%202016%20-%20Jean-Alain%20Fanchone%201.jpg,http://www.wikidata.org/entity/Q5508224,arrière,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q10857,Rachel Brown,http://commons.wikimedia.org/wiki/Special:FilePath/England%20Women%27s%20Vs%20USA%20%2818472573216%29.jpg,http://www.wikidata.org/entity/Q201330,gardien de but,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10860,Siobhan Chamberlain,http://commons.wikimedia.org/wiki/Special:FilePath/Siobhan-chamberlain.jpg,http://www.wikidata.org/entity/Q201330,gardien de but,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10861,Hope Powell,http://commons.wikimedia.org/wiki/Special:FilePath/Arsenal%20LFC%20v%20Kelly%20Smith%20All-Stars%20XI%20%28076%29%20%28cropped%29.jpg,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10864,Karen Bardsley,http://commons.wikimedia.org/wiki/Special:FilePath/KarenBardsley-b-2010.jpg,http://www.wikidata.org/entity/Q201330,gardien de but,http://www.wikidata.org/entity/Q30,États-Unis
http://www.wikidata.org/entity/Q10868,Casey Stoney,http://commons.wikimedia.org/wiki/Special:FilePath/Casey%20Stoney.jpg,http://www.wikidata.org/entity/Q336286,défenseur,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10869,Rachel Unitt,http://commons.wikimedia.org/wiki/Special:FilePath/London%20Bees%20v%20Tottenham%20Hotspur%20LFC%2C%2010%20February%202019%20%2802%29.jpg,http://www.wikidata.org/entity/Q5508224,arrière,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10871,Stephanie Houghton,http://commons.wikimedia.org/wiki/Special:FilePath/Arsenal%20LFC%20v%20Kelly%20Smith%20All-Stars%20XI%20%28189%29%20%28cropped%29.jpg,http://www.wikidata.org/entity/Q193592,milieu de terrain,http://www.wikidata.org/entity/Q145,Royaume-Uni
http://www.wikidata.org/entity/Q10871,Stephanie Houghton,http://commons.wikimedia.org/wiki/Special:FilePath/Arsenal%20LFC%20v%20Kelly%20Smith%20All-Stars%20XI%20%28189%29%20%28cropped%29.jpg,http://www.wikidata.org/entity/Q280658,attaquant,http://www.wikidata.org/entity/Q145,Royaume-Uni
